candidate_id,machine_id,shopify_handle,field_name,source_type,source_priority,source_url,confidence,evidence_text
enr_f56a8e4d2c24600201318c03,mdl_sany_sy18c,sany-sy18c,canonical_model_group,track_finder,4,/pages/equipment-model/sany-sy18c,0.88,Track Finder model family label
enr_716192b971a684355f503e45,mdl_sany_sy26c,sany-sy26c,canonical_model_group,track_finder,4,/pages/equipment-model/sany-sy26c,0.88,Track Finder model family label
enr_8b77df366dcd186dcc703acb,mdl_sany_sy26u,sany-sy26u,canonical_model_group,track_finder,4,/pages/equipment-model/sany-sy26u,0.88,Track Finder model family label
enr_8e6162e0d6219036475ffcb9,mdl_sany_sy35c,sany-sy35c,canonical_model_group,track_finder,4,/pages/equipment-model/sany-sy35c,0.88,Track Finder model family label
enr_39a09531c9bfa5e9c71e939a,mdl_sany_sy35u,sany-sy35u,canonical_model_group,track_finder,4,/pages/equipment-model/sany-sy35u,0.88,Track Finder model family label
enr_20ace85c9705ef9a6d39dd0e,mdl_sany_sy50u,sany-sy50u,canonical_model_group,track_finder,4,/pages/equipment-model/sany-sy50u,0.88,Track Finder model family label
enr_5fe6d2a85ff10bec4df45b7e,mdl_sany_sy60c,sany-sy60c,canonical_model_group,track_finder,4,/pages/equipment-model/sany-sy60c,0.88,Track Finder model family label
enr_a01d3de3094720fc783ed8e3,mdl_sany_sy75c,sany-sy75c,canonical_model_group,track_finder,4,/pages/equipment-model/sany-sy75c,0.88,Track Finder model family label
enr_6fc70d4fc12e6e47e46e280c,mdl_sany_sy80u,sany-sy80u,canonical_model_group,track_finder,4,/pages/equipment-model/sany-sy80u,0.88,Track Finder model family label
enr_27677a30630c4705dba62644,mdl_volvo_ec_20b_xtv,volvo-ec-20b-xtv,canonical_model_group,track_finder,4,/pages/equipment-model/volvo-ec-20b-xtv,0.88,Track Finder model family label
enr_7f8fda257ed3bfcc94e6ff97,mdl_volvo_ec_20c,volvo-ec-20c,canonical_model_group,track_finder,4,/pages/equipment-model/volvo-ec-20c,0.88,Track Finder model family label
enr_aa544f897e12c375b5b9dc3a,mdl_yanmar_vio27_2,yanmar-vio-27-2-offset-type,canonical_model_group,track_finder,4,/pages/equipment-model/yanmar-vio-27-2-offset-type,0.88,Track Finder model family label
enr_fff2397bca93171988a377b5,mdl_yanmar_vio27_3,yanmar-vio-27-3-offset-type,canonical_model_group,track_finder,4,/pages/equipment-model/yanmar-vio-27-3-offset-type,0.88,Track Finder model family label
enr_b905e17a2daff47b600d502c,mdl_yanmar_vio27_5,yanmar-vio-27-5-offset-type,canonical_model_group,track_finder,4,/pages/equipment-model/yanmar-vio-27-5-offset-type,0.88,Track Finder model family label
enr_afe7179fae9792e2cb1eee86,mdl_yanmar_vio35_6a,yanmar-vio-35-6a,canonical_model_group,track_finder,4,/pages/equipment-model/yanmar-vio-35-6a,0.88,Track Finder model family label
enr_b31c5d159e5792aadb656702,mdl_yanmar_vio40_1,yanmar-vio-40-1-offset-type,canonical_model_group,track_finder,4,/pages/equipment-model/yanmar-vio-40-1-offset-type,0.88,Track Finder model family label
enr_b0fe98370f206d01ccc74760,mdl_yanmar_vio40_2,yanmar-vio-40-2-offset-type,canonical_model_group,track_finder,4,/pages/equipment-model/yanmar-vio-40-2-offset-type,0.88,Track Finder model family label
enr_be78d20bc437bb72c6a0947c,mdl_yanmar_vio40v,yanmar-vio-40v-offset-type,canonical_model_group,track_finder,4,/pages/equipment-model/yanmar-vio-40v-offset-type,0.88,Track Finder model family label
enr_f61c6d086f49b67c2a9c5c3b,mdl_yanmar_vio45,yanmar-vio-45-offset-type,canonical_model_group,track_finder,4,/pages/equipment-model/yanmar-vio-45-offset-type,0.88,Track Finder model family label
enr_30644ab720a08bd847c4282a,mdl_yanmar_vio45_5,yanmar-vio-45-5-offset-type,canonical_model_group,track_finder,4,/pages/equipment-model/yanmar-vio-45-5-offset-type,0.88,Track Finder model family label
enr_d26e370be24906e475f5772d,mdl_yanmar_vio456a,yanmar-vio45-6a,canonical_model_group,track_finder,4,/pages/equipment-model/yanmar-vio45-6a,0.88,Track Finder model family label
enr_1685b7fd5cb0bc3ae720ecea,mdl_yanmar_vio45cr,yanmar-vio-45-cr-offset-type,canonical_model_group,track_finder,4,/pages/equipment-model/yanmar-vio-45-cr-offset-type,0.88,Track Finder model family label
enr_5d768b1d6b266763e95b5c78,mdl_yanmar_vio_45_v,yanmar-vio-45v-offset-type,canonical_model_group,track_finder,4,/pages/equipment-model/yanmar-vio-45v-offset-type,0.88,Track Finder model family label
enr_6ce7e2efbff07fd7ecc0e953,mdl_yanmar_vio50_1,yanmar-vio-50-1-offset-type,canonical_model_group,track_finder,4,/pages/equipment-model/yanmar-vio-50-1-offset-type,0.88,Track Finder model family label
enr_de87c4b094341347a6e3922f,mdl_yanmar_vio50_2,yanmar-vio-50-2-offset-type,canonical_model_group,track_finder,4,/pages/equipment-model/yanmar-vio-50-2-offset-type,0.88,Track Finder model family label
