machine_id,shopify_handle,brand,model,status,primary_track_size,hero_url,track_count,uc_count,notes
mdl_case_6030,case-6030,Case,6030,review,400x72.5Kx74,,0,0,missing_hero; no_products
mdl_case_ck16,case-ck16,Case,CK16,partial,320x86x48,,2,0,missing_hero
mdl_case_ck28,case-ck28,Case,CK28,partial,300x52.5Nx78,,2,2,missing_hero
mdl_case_ck32,case-ck32,Case,CK32,partial,320x86x52,,7,1,missing_hero
mdl_case_ck50,case-ck50,Case,CK50,partial,400x72.5Kx74,,4,2,missing_hero
mdl_case_ck52,case-ck52,Case,CK52,partial,400x72.5Kx74,,4,2,missing_hero
mdl_case_ck62,case-ck62,Case,CK62,partial,400x72.5Wx76,,1,2,missing_hero
mdl_case_cx14,case-cx14,Case,CX14,partial,230x48x70,,2,0,missing_hero
mdl_case_cx14_zts,case-cx14-zts,Case,CX14-ZTS,partial,230x48x70,,2,0,missing_hero
mdl_case_cx15,case-cx15,Case,CX15,partial,230x96x31,,2,0,missing_hero
mdl_case_cx15stc,case-cx15stc,Case,CX15STC,partial,230x48x70,,2,0,missing_hero
mdl_case_cx15str,case-cx15str,Case,CX15STR,partial,230x48x70,,2,0,missing_hero
mdl_case_cx16,case-cx16,Case,CX16,partial,230x48x70,,2,0,missing_hero
mdl_case_cx16_2001,case-cx16-2001,Case,CX16-2001,partial,230x48x70,,2,0,missing_hero
mdl_case_cx16b,case-cx16b,Case,CX16B,partial,230x48x70,,2,0,missing_hero
mdl_case_cx17b,case-cx17b,Case,CX17B,partial,230x48x70,,2,0,missing_hero
mdl_case_cx17c,case-cx17c,Case,CX17C,ready,230x48x70,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/case-cx17c-hero.webp,2,0,
mdl_case_cx18b,case-cx18b,Case,CX18B,partial,230x48x70,,2,0,missing_hero
mdl_case_cx20b,case-cx20b,Case,CX20B,partial,300x52.5Nx76,,1,2,missing_hero
mdl_case_cx22b,case-cx22b,Case,CX22B,partial,300x52.5Nx76,,1,2,missing_hero
