machine_id,shopify_handle,page_path,metaobject_path,primary_track_size,machine_status,status,issues
mdl_daewoo_solar10,daewoo-solar-10,/pages/fitment/daewoo-solar-10,/metaobjects/model/daewoo-solar-10,180x72x37,active_v1,pass,
mdl_daewoo_solar25,daewoo-solar-25,/pages/fitment/daewoo-solar-25,/metaobjects/model/daewoo-solar-25,300x52.5Nx74,active_v1,pass,
mdl_daewoo_solar35,daewoo-solar-35,/pages/fitment/daewoo-solar-35,/metaobjects/model/daewoo-solar-35,300x52.5Nx80,active_v1,pass,
mdl_daewoo_solar55,daewoo-solar-55,/pages/fitment/daewoo-solar-55,/metaobjects/model/daewoo-solar-55,400x72.5Kx74,active_v1,pass,
mdl_daewoo_solar553,daewoo-solar-55-3,/pages/fitment/daewoo-solar-55-3,/metaobjects/model/daewoo-solar-55-3,400x72.5Wx76,active_v1,pass,
mdl_daewoo_solar555,daewoo-solar-55-5,/pages/fitment/daewoo-solar-55-5,/metaobjects/model/daewoo-solar-55-5,400x72.5Kx74,active_v1,pass,
mdl_daewoo_solar55v,daewoo-solar-55-v,/pages/fitment/daewoo-solar-55-v,/metaobjects/model/daewoo-solar-55-v,400x72.5Kx74,active_v1,pass,
mdl_ditch_witch_ht_25,ditch-witch-ht-25-trencher,/pages/fitment/ditch-witch-ht-25-trencher,/metaobjects/model/ditch-witch-ht-25-trencher,230x72x39,active_v1,pass,
mdl_ditch_witch_ht_25k,ditch-witch-ht-25k-saw-machine,/pages/fitment/ditch-witch-ht-25k-saw-machine,/metaobjects/model/ditch-witch-ht-25k-saw-machine,230x72x39,active_v1,pass,
mdl_ditch_witch_jt_1200,ditch-witch-jt-1200-drilling-machine,/pages/fitment/ditch-witch-jt-1200-drilling-machine,/metaobjects/model/ditch-witch-jt-1200-drilling-machine,230x72x39,active_v1,pass,
mdl_ditch_witch_jt_1220,ditch-witch-jt-1220-mach-1-drilling-machine,/pages/fitment/ditch-witch-jt-1220-mach-1-drilling-machine,/metaobjects/model/ditch-witch-jt-1220-mach-1-drilling-machine,,active_v1,pass,
mdl_ditch_witch_jt_1720,ditch-witch-jt-1720-drilling-machine,/pages/fitment/ditch-witch-jt-1720-drilling-machine,/metaobjects/model/ditch-witch-jt-1720-drilling-machine,,active_v1,pass,
mdl_ditch_witch_jt_20,ditch-witch-jt-20-drilling-machine,/pages/fitment/ditch-witch-jt-20-drilling-machine,/metaobjects/model/ditch-witch-jt-20-drilling-machine,,active_v1,pass,
mdl_ditch_witch_jt_2020,ditch-witch-jt-2020-mach-1,/pages/fitment/ditch-witch-jt-2020-mach-1,/metaobjects/model/ditch-witch-jt-2020-mach-1,,active_v1,pass,
