machine_id,shopify_handle,track_size_options,v2_track_products,tnt_products,uc_products,sprockets,idlers,rear_idlers,rollers,wide_before_narrow,status,issues
mdl_gehl_ctl135,gehl-ctl135,1,4,4,4,0,0,0,0,n/a,pass,
mdl_gehl_ctl165,gehl-ctl165,2,0,0,0,0,0,0,0,pass,fail,no_v2_track_products;no_uc_products
mdl_gehl_ctl55,gehl-ctl55,1,10,10,10,0,0,0,0,n/a,pass,
mdl_gehl_ctl60,gehl-ctl60,2,8,8,16,2,4,0,2,pass,pass,
mdl_gehl_ctl65,gehl-ctl65,2,4,4,8,1,2,0,1,pass,pass,
mdl_gehl_ctl70,gehl-ctl70,1,12,12,22,4,4,0,2,n/a,pass,
mdl_gehl_ctl75,gehl-ctl75,1,6,6,10,1,2,0,1,n/a,pass,
mdl_gehl_ctl80,gehl-ctl80,1,12,12,16,1,2,0,1,n/a,pass,
mdl_gehl_ctl85,gehl-ctl85,1,6,6,10,1,2,0,1,n/a,pass,
mdl_gehl_ge303,gehl-ge303,2,0,0,0,0,0,0,0,review,fail,no_v2_track_products;no_uc_products
mdl_gehl_ge342,gehl-ge342,1,6,2,7,0,0,0,0,n/a,pass,
mdl_gehl_ge362,gehl-ge362,2,3,1,4,0,0,0,0,review,pass,
mdl_gehl_ge502,gehl-ge502,3,3,1,5,0,0,0,0,review,pass,
mdl_gehl_ge503,gehl-ge503,3,0,0,0,0,0,0,0,review,fail,no_v2_track_products;no_uc_products
mdl_gehl_ge602,gehl-ge602,3,3,1,5,0,0,0,0,review,pass,
mdl_gehl_mb28,gehl-mb28,2,0,0,0,0,0,0,0,review,fail,no_v2_track_products;no_uc_products
mdl_gehl_rt105,equipment-model-6awxkbkh,1,5,5,5,0,0,0,0,n/a,pass,
mdl_gehl_rt135,gehl-rt135,1,5,5,5,0,0,0,0,n/a,pass,
mdl_gehl_rt165,gehl-rt165,2,34,26,37,0,2,0,1,pass,pass,
mdl_gehl_rt210,gehl-rt210,1,13,9,17,1,2,0,1,n/a,pass,
mdl_gehl_rt215,gehl-rt215,1,30,22,34,1,2,0,1,n/a,pass,
mdl_gehl_rt250,gehl-rt250,1,26,16,36,4,4,0,2,n/a,pass,
mdl_gehl_rt255,gehl-rt255,1,13,8,18,2,2,0,1,n/a,pass,
mdl_gehl_vt210,gehl-vt210,1,0,0,0,0,0,0,0,n/a,fail,no_v2_track_products;no_uc_products
mdl_gehl_vt320,gehl-vt320,1,13,8,17,1,2,0,1,n/a,pass,
mdl_hanix_h36b,hanix-h36b,2,1,1,1,0,0,0,0,review,pass,
mdl_hanix_h36c,hanix-h36c,2,1,1,1,0,0,0,0,review,pass,
mdl_hanix_h36cr,hanix-h36cr,2,1,1,1,0,0,0,0,review,pass,
mdl_hanix_h36r,hanix-h36r,2,1,1,1,0,0,0,0,review,pass,
mdl_hitachi_30u,hitachi-30u,1,2,1,3,0,0,0,0,n/a,pass,
mdl_hitachi_35u,hitachi-35u,1,2,1,3,0,0,0,0,n/a,pass,
mdl_hitachi_ex_35_u,hitachi-ex35u,1,1,0,1,0,0,0,0,n/a,review,no_tnt_tracks
mdl_hitachi_ex12,hitachi-ex12,1,2,1,3,0,0,0,1,n/a,pass,
mdl_hitachi_ex12_1,hitachi-ex12-1,1,2,1,2,0,0,0,0,n/a,pass,
mdl_hitachi_ex12_2,hitachi-ex12-2,1,2,1,2,0,0,0,0,n/a,pass,
mdl_hitachi_ex15,hitachi-ex15,1,2,1,2,0,0,0,0,n/a,pass,
mdl_hitachi_ex15_1,hitachi-ex15-1,1,2,1,2,0,0,0,0,n/a,pass,
mdl_hitachi_ex15_2,hitachi-ex15-2,1,2,1,2,0,0,0,0,n/a,pass,
mdl_hitachi_ex15u,hitachi-ex15u,1,2,1,2,0,0,0,0,n/a,pass,
mdl_hitachi_ex16,hitachi-ex16,1,2,1,2,0,0,0,0,n/a,pass,
mdl_hitachi_ex17,hitachi-ex17,1,0,0,1,0,0,0,1,n/a,review,no_v2_track_products
mdl_hitachi_ex35,hitachi-ex35,2,1,1,2,0,0,0,0,review,pass,
mdl_hitachi_ex351,hitachi-ex35-1,2,0,0,0,0,0,0,0,review,fail,no_v2_track_products;no_uc_products
mdl_hitachi_ex36u,hitachi-ex36u,1,2,1,3,0,0,0,0,n/a,pass,
mdl_hitachi_ex40ur,hitachi-ex40ur,2,1,1,2,0,0,0,0,review,pass,
